,user_id,main_page_viewed_at,order_completed_at,time_to_order
0,959238,2020-11-20 23:55:02.759000+00:00,2020-12-02 23:55:02.759000+00:00,13.375
1,337366,2020-12-05 23:41:42.244000+00:00,2020-12-17 23:41:42.244000+00:00,10.208333333333334
2,259956,2020-11-20 23:33:53.269000+00:00,2020-11-30 23:33:53.269000+00:00,6.708333333333333
3,534280,2020-11-28 23:44:56.556000+00:00,2020-12-09 23:44:56.556000+00:00,9.458333333333334
4,795121,2020-11-18 23:59:56.236000+00:00,2020-11-26 23:59:56.236000+00:00,11.916666666666666
5,528208,2020-11-18 23:47:44.317000+00:00,2020-11-25 23:47:44.317000+00:00,11.416666666666666
6,755857,2020-12-05 23:54:14.455000+00:00,2020-12-19 23:54:14.455000+00:00,11.708333333333334
7,249718,2020-12-01 23:43:17.098000+00:00,2020-12-08 23:43:17.098000+00:00,7.25
8,986381,2020-11-28 23:42:46.316000+00:00,2020-12-14 23:42:46.316000+00:00,11.041666666666666
9,547613,2020-11-23 23:57:27.268000+00:00,2020-12-13 23:57:27.268000+00:00,5.916666666666667
10,675481,2020-12-13 23:52:38.544000+00:00,2020-12-24 23:52:38.544000+00:00,11.916666666666666
11,298332,2020-11-26 23:49:33.996000+00:00,2020-12-06 23:49:33.996000+00:00,10.041666666666666
12,476895,2020-11-20 23:55:02.761000+00:00,2020-12-03 23:55:02.761000+00:00,8.75
13,742366,,,12.75
14,793314,,,14.333333333333334
15,483314,,,6.416666666666667
16,252105,2020-11-28 23:05:51.123000+00:00,2020-11-28 23:05:51.123000+00:00,10.25
17,954056,2020-11-25 23:33:04.848000+00:00,2020-11-25 23:33:04.848000+00:00,13.291666666666666
18,935662,2020-11-17 22:46:13.373000+00:00,2020-11-17 22:56:13.373000+00:00,10.833333333333334
19,707832,2020-11-26 23:50:02.318000+00:00,2020-11-27 00:00:02.318000+00:00,8.583333333333334
20,450094,2020-11-29 22:59:18.680000+00:00,2020-11-29 23:09:18.680000+00:00,5.208333333333333
21,370716,2020-11-29 23:38:19.150000+00:00,2020-11-29 23:48:19.150000+00:00,7.666666666666667
22,843249,2020-11-20 23:54:13.116000+00:00,2020-11-21 00:14:13.116000+00:00,8.5
23,813273,2020-11-24 21:29:43.855000+00:00,2020-11-24 21:49:43.855000+00:00,7.291666666666667
24,428496,2020-11-18 21:56:50.480000+00:00,2020-11-18 22:16:50.480000+00:00,4.25
25,578659,2020-12-05 23:04:55.507000+00:00,2020-12-05 23:24:55.507000+00:00,13.166666666666666
26,129417,2020-11-30 22:12:19.597000+00:00,2020-11-30 22:32:19.597000+00:00,12.875
27,142156,2020-11-18 23:31:00.727000+00:00,2020-11-18 23:51:00.727000+00:00,10.583333333333334
28,859975,2020-11-20 22:49:25.043000+00:00,2020-11-20 23:19:25.043000+00:00,14.166666666666666
29,902059,2020-12-11 23:12:08.766000+00:00,2020-12-11 23:42:08.766000+00:00,12.416666666666666
30,205499,2020-11-17 23:09:50.560000+00:00,2020-11-17 23:49:50.560000+00:00,9.75
31,170297,2020-12-02 18:38:43.093000+00:00,2020-12-02 19:28:43.093000+00:00,10.75
